ID,Name,Source,Pages,UltimateSource,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
apal1255-1,Palik,LeanWestNewBritain,p.24,1 IMP. Village: Turuk.,apal1255,Apalik,apo,Papunesia,-6.29002,149.96,Austronesian
apal1255-2,Ambul - Ayuvet village,Spencer2013,p.46,,apal1255,Apalik,apo,Papunesia,-6.29002,149.96,Austronesian
apal1255-3,Ambul - Melenglo village,Spencer2013,p.46,,apal1255,Apalik,apo,Papunesia,-6.29002,149.96,Austronesian
apal1255-4,Ambul - Asepsep village,Spencer2013,p.46,,apal1255,Apalik,apo,Papunesia,-6.29002,149.96,Austronesian
apal1255-5,Ambul - Ambonge village,Spencer2013,p.46,,apal1255,Apalik,apo,Papunesia,-6.29002,149.96,Austronesian
apal1256-1,Emerum,Zgraggen1980SouthernAdelbert,p.46,,apal1256,Apali,ena,Papunesia,-5.1727,145.023,Nuclear Trans New Guinea
apma1240-1,Apma (spirit-being numerals) [from Gray (2013:92)],Garde2015,p.129,,apma1240,Apma,app,Papunesia,-15.8559,168.189,Austronesian
apma1241-1,Ap Ma (Yamen village),Barlow2021,p.87,,apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Keram
apma1241-2,Botin,Wade1983,"pp.11, 12, 53, 83, 73",,apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Keram
apma1241-3,Kambot (from CSQs),LeanEastSepik,p.61,"2 CSQs. Villages: Kambot, Yamen.",apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Keram
apma1241-4,Kambot (Kambaramba village),LeanEastSepik,p.61,SIL Word List (1975). Village: Kambaramba.,apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Keram
aput1237-1,Aputai,Taber1993,pp.418-419,,aput1237,Aputai,apx,Papunesia,-7.84732,126.496,Austronesian
aral1243-1,Mambi,Arnaud1998,pp.863-879 [word list item numbers],,aral1243,Aralle-Tabulahan,atq,Papunesia,-2.78397,119.319,Austronesian
aral1243-2,Tabulahan,Arnaud1998,pp.863-879 [word list item numbers],,aral1243,Aralle-Tabulahan,atq,Papunesia,-2.78397,119.319,Austronesian
aram1253-1,Nambu,Lean1986Vol12,p.55,SIL Word List (1974). Village: Serki.,aram1253,Arammba,stk,Papunesia,-8.29593,141.445,Yam
aram1253-2,Parb,Ray1912,pp.340-341,,aram1253,Arammba,stk,Papunesia,-8.29593,141.445,Yam
aran1237-1,Jaban-Arandai,Galis1955,p.135,,aran1237,Dombano,jbj,Papunesia,-2.08016,132.983,South Bird's Head Family
araw1272-1,Arawum,Zgraggen1980RaiCoast,p.92,,araw1272,Arawum,awm,Papunesia,-5.52787,145.903,Nuclear Trans New Guinea
aree1239-1,Mukawa,Lean1986Vol06,p.31,"7 CSQs. Villages: Ginada (2), Mukawa (2), Bogaboga, Irikaba (2).",aree1239,Are,mwc,Papunesia,-9.67147,149.999,Austronesian
aree1239-2,Mukawa (from SIL word list),Lean1986Vol06,p.32,S.I.L word list. Village: Mukawa.,aree1239,Are,mwc,Papunesia,-9.67147,149.999,Austronesian
argu1237-1,Báham,Galis1955,p.134,,argu1237,Arguni,agf,Papunesia,-2.645798,132.5556,Austronesian
argu1237-2,P. Arguni,Grace1955pdf50,p.111,,argu1237,Arguni,agf,Papunesia,-2.645798,132.5556,Austronesian
arib1240-1,Yalu,Smith1988,p.70,,arib1240,Aribwaung,ylu,Papunesia,-6.65252,146.919,Austronesian
arib1241-1,Aribwatsa,Holzknecht1997,p.182,,arib1241,Aribwatsa,laz,Papunesia,-6.72266,146.991,Austronesian
arif1239-1,Arifama-Miniafia,Lean1985Vol05,p.61,"3 CSQs, 1 IMP. Villages: Ajoa, Utukwafu (2).",arif1239,Arifama-Miniafia,aai,Papunesia,-9.15565,149.246,Austronesian
arii1243-1,Ari-Waruna (‘Ari’),Lean1986Vol12,p.39,SIL Wordlist (1974).,arii1243,Ari,aac,Papunesia,-7.95526,142.4,Suki-Gogodala
